sentence,translate,divided_sentence,divided_sentence_with_ruby,sentence_with_ruby,level
氏名は五十音順です。,이름은 오십음순입니다.,"[""氏名は"", ""五十音順です。""]","[""<ruby>氏名<rp>(</rp><rt>しめい</rt><rp>)</rp></ruby>は"", ""<ruby>五十音<rp>(</rp><rt>ごじゅうおん</rt><rp>)</rp></ruby><ruby>順<rp>(</rp><rt>じゅん</rt><rp>)</rp></ruby>です。""]",<ruby>氏名<rp>(</rp><rt>しめい</rt><rp>)</rp></ruby>は<ruby>五十音<rp>(</rp><rt>ごじゅうおん</rt><rp>)</rp></ruby><ruby>順<rp>(</rp><rt>じゅん</rt><rp>)</rp></ruby>です。,N3
彼氏はいますか？,남자친구가 있나요?,"[""彼氏は"", ""いますか？""]","[""<ruby>彼氏<rp>(</rp><rt>かれし</rt><rp>)</rp></ruby>は"", ""いますか？""]",<ruby>彼氏<rp>(</rp><rt>かれし</rt><rp>)</rp></ruby>はいますか？,N2
我々の統合は完璧にできうる。,우리의 통합은 완벽하게 이루어질 수 있다.,"[""我々の"", ""統合は"", ""完璧に"", ""できうる。""]","[""<ruby>我々<rp>(</rp><rt>われわれ</rt><rp>)</rp></ruby>の"", ""<ruby>統合<rp>(</rp><rt>とうごう</rt><rp>)</rp></ruby>は"", ""<ruby>完璧<rp>(</rp><rt>かんぺき</rt><rp>)</rp></ruby>に"", ""できうる。""]",<ruby>我々<rp>(</rp><rt>われわれ</rt><rp>)</rp></ruby>の<ruby>統合<rp>(</rp><rt>とうごう</rt><rp>)</rp></ruby>は<ruby>完璧<rp>(</rp><rt>かんぺき</rt><rp>)</rp></ruby>にできうる。,N1
ベトナムは統一したけど、韓国と北朝鮮が統一するのはいつになるだろう？,"베트남은 통일이 되었지만, 한국과 북한이 통일되는 시기는 언제가 될까?","[""ベトナムは"", ""統一したけど、"", ""韓国と北朝鮮が"", ""統一するのは"", ""いつになるだろう？""]","[""ベトナムは"", ""<ruby>統一<rp>(</rp><rt>とういつ</rt><rp>)</rp></ruby>したけど、"", ""<ruby>韓国<rp>(</rp><rt>かんこく</rt><rp>)</rp></ruby>と<ruby>北朝鮮<rp>(</rp><rt>きたちょうせん</rt><rp>)</rp></ruby>が"", ""<ruby>統一<rp>(</rp><rt>とういつ</rt><rp>)</rp></ruby>するのは"", ""いつになるだろう？""]",ベトナムは<ruby>統一<rp>(</rp><rt>とういつ</rt><rp>)</rp></ruby>したけど、<ruby>韓国<rp>(</rp><rt>かんこく</rt><rp>)</rp></ruby>と<ruby>北朝鮮<rp>(</rp><rt>きたちょうせん</rt><rp>)</rp></ruby>が<ruby>統一<rp>(</rp><rt>とういつ</rt><rp>)</rp></ruby>するのはいつになるだろう？,N2
どれだけ数多く保持しているかによって、王の統制力と戦力を誇示できる時代でした。,얼마나 많이 보유하느냐에 따라 왕의 통제력과 전력을 과시할 수 있는 시대였다.,"[""どれだけ"", ""数多く"", ""保持している"", ""かによって"", ""王の"", ""統制力"", ""と"", ""戦力"", ""を"", ""誇示できる"", ""時代でした""]","[""どれだけ"", ""<ruby>数多<rp>(</rp><rt>かずおお</rt><rp>)</rp></ruby>く"", ""<ruby>保持<rp>(</rp><rt>ほじ</rt><rp>)</rp></ruby>している"", ""かによって"", ""<ruby>王<rp>(</rp><rt>おう</rt><rp>)</rp></ruby>の"", ""<ruby>統制<rp>(</rp><rt>とうせい</rt><rp>)</rp></ruby><ruby>力<rp>(</rp><rt>りょく</rt><rp>)</rp></ruby>"", ""と"", ""戦<ruby>力<rp>(</rp><rt>りょく</rt><rp>)</rp></ruby>"", ""を"", ""<ruby>誇示<rp>(</rp><rt>こじ</rt><rp>)</rp></ruby>できる"", ""<ruby>時代<rp>(</rp><rt>じだい</rt><rp>)</rp></ruby>でした""]",どれだけ<ruby>数多<rp>(</rp><rt>かずおお</rt><rp>)</rp></ruby>く<ruby>保持<rp>(</rp><rt>ほじ</rt><rp>)</rp></ruby>しているかによって、<ruby>王<rp>(</rp><rt>おう</rt><rp>)</rp></ruby>の<ruby>統制<rp>(</rp><rt>とうせい</rt><rp>)</rp></ruby><ruby>力<rp>(</rp><rt>りょく</rt><rp>)</rp></ruby>と<ruby>戦力<rp>(</rp><rt>せんりょく</rt><rp>)</rp></ruby>を<ruby>誇示<rp>(</rp><rt>こじ</rt><rp>)</rp></ruby>できる<ruby>時代<rp>(</rp><rt>じだい</rt><rp>)</rp></ruby>でした。,N1
これは家族の伝統です。,이것은 가족의 전통입니다.,"[""これは"", ""家族の"", ""伝統です。""]","[""これは"", ""<ruby>家族<rp>(</rp><rt>かぞく</rt><rp>)</rp></ruby>の"", ""<ruby>伝統<rp>(</rp><rt>でんとう</rt><rp>)</rp></ruby>です。""]",これは<ruby>家族<rp>(</rp><rt>かぞく</rt><rp>)</rp></ruby>の<ruby>伝統<rp>(</rp><rt>でんとう</rt><rp>)</rp></ruby>です。,N2
どちらの王子が正統な王位継承者か。,어느 왕자가 정당한 왕위 계승자인가?,"[""どちらの"", ""王子が"", ""正統な"", ""王位継承者か。""]","[""どちらの"", ""<ruby>王子<rp>(</rp><rt>おうじ</rt><rp>)</rp></ruby>が"", ""<ruby>正統<rp>(</rp><rt>せいとう</rt><rp>)</rp></ruby>な"", ""<ruby>王位<rp>(</rp><rt>おうい</rt><rp>)</rp></ruby><ruby>継承<rp>(</rp><rt>けいしょう</rt><rp>)</rp></ruby><ruby>者<rp>(</rp><rt>しゃ</rt><rp>)</rp></ruby>か。""]",どちらの<ruby>王子<rp>(</rp><rt>おうじ</rt><rp>)</rp></ruby>が<ruby>正統<rp>(</rp><rt>せいとう</rt><rp>)</rp></ruby>な<ruby>王位<rp>(</rp><rt>おうい</rt><rp>)</rp></ruby><ruby>継承<rp>(</rp><rt>けいしょう</rt><rp>)</rp></ruby><ruby>者<rp>(</rp><rt>しゃ</rt><rp>)</rp></ruby>か。,etc
いくつの流派に参加してきたのですか？,얼마나 많은 유파에 참여하셨나요?,"[""いくつの"", ""流派に"", ""参加して"", ""きたのですか？""]","[""いくつの"", ""<ruby>流派<rp>(</rp><rt>りゅうは</rt><rp>)</rp></ruby>に"", ""<ruby>参加<rp>(</rp><rt>さんか</rt><rp>)</rp></ruby>して"", ""きたのですか？""]",いくつの<ruby>流派<rp>(</rp><rt>りゅうは</rt><rp>)</rp></ruby>に<ruby>参加<rp>(</rp><rt>さんか</rt><rp>)</rp></ruby>してきたのですか？,etc
２つの派閥が手をむすんだ。,두 파벌이 손을 잡았다.,"[""２つの"", ""派閥が"", ""手を"", ""むすんだ。""]","[""２つの"", ""<ruby>派閥<rp>(</rp><rt>はばつ</rt><rp>)</rp></ruby>が"", ""<ruby>手<rp>(</rp><rt>て</rt><rp>)</rp></ruby>を"", ""むすんだ。""]",２つの<ruby>派閥<rp>(</rp><rt>はばつ</rt><rp>)</rp></ruby>が<ruby>手<rp>(</rp><rt>て</rt><rp>)</rp></ruby>をむすんだ。,etc
名詞から動詞が派生していることもあれば、その逆のこともある。,"명사에서 동사가 파생되기도 하고, 그 반대의 경우도 있다.","[""名詞から"", ""動詞が"", ""派生している"", ""ことも"", ""あれば"", ""その逆の"", ""ことも"", ""ある""]","[""<ruby>名詞<rp>(</rp><rt>めいし</rt><rp>)</rp></ruby>から"", ""<ruby>動詞<rp>(</rp><rt>どうし</rt><rp>)</rp></ruby>が"", ""<ruby>派生<rp>(</rp><rt>はせい</rt><rp>)</rp></ruby>している"", ""ことも"", ""あれば"", ""その<ruby>逆<rp>(</rp><rt>ぎゃく</rt><rp>)</rp></ruby>の"", ""ことも"", ""ある""]",<ruby>名詞<rp>(</rp><rt>めいし</rt><rp>)</rp></ruby>から<ruby>動詞<rp>(</rp><rt>どうし</rt><rp>)</rp></ruby>が<ruby>派生<rp>(</rp><rt>はせい</rt><rp>)</rp></ruby>していることもあれば、その<ruby>逆<rp>(</rp><rt>ぎゃく</rt><rp>)</rp></ruby>のこともある。,etc
